,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Team,Unnamed: 4_level_0
,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,MP
0,William Saliba,fr FRA,DF,22-213,9.0,9,810.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,2.0,42.0,1.0,0.0,0.11,0.11,0.0,0.11,0.0,0.01,0.01,0.0,0.01,Matches,arsenal,
1,Ben White,eng ENG,DF,26-015,9.0,9,810.0,9.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.4,0.4,0.9,1.3,15.0,47.0,41.0,0.11,0.0,0.11,0.11,0.11,0.05,0.1,0.14,0.05,0.14,Matches,arsenal,
2,Martin Ødegaard,no NOR,MF,24-310,9.0,9,787.0,8.7,3.0,1.0,4.0,1.0,2.0,2.0,1.0,0.0,2.6,1.0,0.7,1.7,22.0,46.0,51.0,0.34,0.11,0.46,0.11,0.23,0.29,0.08,0.38,0.11,0.2,Matches,arsenal,
3,Declan Rice,eng ENG,MF,24-282,9.0,9,754.0,8.4,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.7,0.7,0.9,1.6,13.0,52.0,15.0,0.24,0.0,0.24,0.24,0.24,0.09,0.1,0.19,0.09,0.19,Matches,arsenal,
4,Bukayo Saka,eng ENG,FW,22-048,8.0,8,702.0,7.8,4.0,3.0,7.0,2.0,2.0,2.0,1.0,0.0,4.1,2.5,2.1,4.5,40.0,28.0,104.0,0.51,0.38,0.9,0.26,0.64,0.52,0.26,0.78,0.32,0.58,Matches,arsenal,
5,Eddie Nketiah,eng ENG,FW,24-146,9.0,7,591.0,6.6,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.9,1.9,0.2,2.1,11.0,9.0,33.0,0.3,0.0,0.3,0.3,0.3,0.29,0.03,0.32,0.29,0.32,Matches,arsenal,
6,Gabriel Dos Santos,br BRA,DF,25-308,8.0,6,566.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,1.0,22.0,3.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches,arsenal,
7,Gabriel Martinelli,br BRA,FW,22-127,7.0,6,478.0,5.3,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,0.6,1.4,23.0,18.0,72.0,0.19,0.38,0.56,0.19,0.56,0.15,0.11,0.26,0.15,0.26,Matches,arsenal,
8,Oleksandr Zinchenko,ua UKR,DF,26-312,8.0,6,468.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.3,0.6,11.0,41.0,9.0,0.0,0.0,0.0,0.0,0.0,0.05,0.06,0.12,0.05,0.12,Matches,arsenal,
9,Kai Havertz,de GER,"MF,FW",24-134,9.0,5,476.0,5.3,1.0,1.0,2.0,0.0,1.0,1.0,3.0,0.0,1.6,0.8,0.7,1.5,8.0,22.0,27.0,0.19,0.19,0.38,0.0,0.19,0.3,0.12,0.43,0.15,0.28,Matches,arsenal,
10,David Raya,es ESP,GK,28-038,5.0,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,arsenal,
11,Gabriel Jesus,br BRA,FW,26-203,7.0,4,364.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.8,1.8,0.2,2.0,11.0,11.0,27.0,0.25,0.0,0.25,0.25,0.25,0.44,0.05,0.49,0.44,0.49,Matches,arsenal,
12,Aaron Ramsdale,eng ENG,GK,25-162,4.0,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,arsenal,
13,Thomas Partey,gh GHA,"DF,MF",30-132,4.0,3,251.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,10.0,33.0,4.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.06,0.03,0.06,Matches,arsenal,
14,Jorginho,it ITA,MF,31-307,7.0,2,216.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,3.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches,arsenal,
15,Fabio Vieira,pt POR,MF,23-146,5.0,2,188.0,2.1,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,1.1,1.5,9.0,10.0,21.0,0.0,0.96,0.96,0.0,0.96,0.2,0.51,0.7,0.2,0.7,Matches,arsenal,
16,Leandro Trossard,be BEL,FW,28-323,5.0,2,187.0,2.1,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.3,0.3,0.9,1.2,3.0,9.0,13.0,0.96,0.0,0.96,0.96,0.96,0.15,0.41,0.56,0.15,0.56,Matches,arsenal,
17,Takehiro Tomiyasu,jp JPN,DF,24-352,7.0,1,216.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.2,0.2,0.0,0.2,1.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches,arsenal,
18,Jakub Kiwior,pl POL,DF,23-250,2.0,1,92.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.41,0.41,0.41,Matches,arsenal,
19,Jurriën Timber,nl NED,DF,22-128,1.0,1,49.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,arsenal,
20,Reiss Nelson,eng ENG,FW,23-317,3.0,0,37.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.06,1.14,1.19,0.06,1.19,Matches,arsenal,
21,Emile Smith Rowe,eng ENG,MF,23-087,3.0,0,34.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.21,0.0,1.21,1.21,1.21,Matches,arsenal,
22,Mohamed Elneny,eg EGY,MF,31-104,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,arsenal,
23,Karl Jakob Hein,ee EST,GK,21-193,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,arsenal,
24,Cédric Soares,pt POR,"DF,MF",32-053,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,arsenal,
25,Ezri Konsa,eng ENG,DF,26-000,9.0,9,810.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,0.0,0.6,4.0,18.0,5.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches,aston_villa,
26,Lucas Digne,fr FRA,DF,30-095,9.0,9,800.0,8.9,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,1.4,1.5,13.0,28.0,85.0,0.0,0.23,0.23,0.0,0.23,0.02,0.15,0.17,0.02,0.17,Matches,aston_villa,
27,Matty Cash,pl POL,"DF,MF",26-077,9.0,9,797.0,8.9,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,2.9,2.9,0.5,3.4,22.0,21.0,30.0,0.23,0.11,0.34,0.23,0.34,0.33,0.05,0.38,0.33,0.38,Matches,aston_villa,
28,Ollie Watkins,eng ENG,FW,27-297,9.0,9,768.0,8.5,5.0,5.0,10.0,5.0,0.0,0.0,0.0,0.0,4.2,4.2,2.2,6.4,17.0,13.0,48.0,0.59,0.59,1.17,0.59,1.17,0.49,0.26,0.75,0.49,0.75,Matches,aston_villa,
29,Boubacar Kamara,fr FRA,MF,23-334,9.0,9,766.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.8,0.8,7.0,34.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.09,0.1,0.01,0.1,Matches,aston_villa,
30,Douglas Luiz,br BRA,MF,25-167,9.0,9,759.0,8.4,5.0,0.0,5.0,2.0,3.0,3.0,4.0,0.0,3.2,0.8,0.6,1.4,17.0,49.0,20.0,0.59,0.0,0.59,0.24,0.24,0.38,0.07,0.45,0.1,0.17,Matches,aston_villa,
31,John McGinn,sct SCO,"MF,FW",29-005,9.0,9,747.0,8.3,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.9,0.9,1.2,2.1,11.0,49.0,24.0,0.12,0.24,0.36,0.12,0.36,0.11,0.15,0.26,0.11,0.26,Matches,aston_villa,
32,Moussa Diaby,fr FRA,"MF,FW",24-108,9.0,9,704.0,7.8,2.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,1.6,1.6,3.1,4.8,31.0,27.0,54.0,0.26,0.38,0.64,0.26,0.64,0.21,0.4,0.61,0.21,0.61,Matches,aston_villa,
33,Pau Torres,es ESP,DF,26-280,9.0,8,780.0,8.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.4,11.0,39.0,6.0,0.12,0.0,0.12,0.12,0.12,0.04,0.01,0.05,0.04,0.05,Matches,aston_villa,
34,Emiliano Martínez,ar ARG,GK,31-051,8.0,8,720.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,aston_villa,
35,Nicolò Zaniolo,it ITA,"FW,MF",24-113,7.0,4,334.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,0.6,1.2,17.0,13.0,25.0,0.0,0.0,0.0,0.0,0.0,0.16,0.17,0.33,0.16,0.33,Matches,aston_villa,
36,Diego Carlos,br BRA,DF,30-222,5.0,3,252.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.13,0.13,0.13,Matches,aston_villa,
37,Leon Bailey,jm JAM,"FW,MF",26-075,7.0,2,227.0,2.5,3.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,1.4,1.4,1.0,2.3,15.0,10.0,22.0,1.19,0.4,1.59,1.19,1.59,0.55,0.38,0.93,0.55,0.93,Matches,aston_villa,
38,Robin Olsen,se SWE,GK,33-288,1.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,aston_villa,
39,Tyrone Mings,eng ENG,DF,30-224,1.0,1,30.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.07,0.09,0.02,0.09,Matches,aston_villa,
40,Youri Tielemans,be BEL,"MF,FW",26-169,9.0,0,156.0,1.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.4,5.0,16.0,5.0,0.0,0.58,0.58,0.0,0.58,0.04,0.19,0.24,0.04,0.24,Matches,aston_villa,
41,Jhon Durán,co COL,"FW,MF",19-314,6.0,0,73.0,0.8,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.7,0.7,0.0,0.7,4.0,2.0,4.0,2.47,0.0,2.47,2.47,2.47,0.9,0.02,0.91,0.9,0.91,Matches,aston_villa,
42,Jacob Ramsey,eng ENG,"FW,MF",22-148,2.0,0,50.0,0.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,4.0,2.0,0.0,1.8,0.0,1.8,1.8,1.8,0.34,0.0,0.34,0.34,0.34,Matches,aston_villa,
43,Philippe Coutinho,br BRA,"MF,FW",31-133,2.0,0,25.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,5.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.52,0.52,0.52,Matches,aston_villa,
44,Bertrand Traoré,bf BFA,DF,28-047,1.0,0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,aston_villa,
45,Cameron Archer,eng ENG,MF,22-094,1.0,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,aston_villa,
46,Jaden Philogene Bidace,eng ENG,FW,21-257,1.0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,aston_villa,
47,Leander Dendoncker,be BEL,"MF,FW",28-191,2.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,aston_villa,
48,Calum Chambers,eng ENG,"DF,MF",28-276,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,aston_villa,
49,Omari Kellyman,eng ENG,MF,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,aston_villa,
50,Clément Lenglet,fr FRA,DF,28-128,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,aston_villa,
51,Filip Marshall,eng ENG,GK,20-182,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,aston_villa,
52,Álex Moreno,es ESP,"DF,MF",30-137,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,aston_villa,
53,Oliwier Zych,pl POL,GK,19-117,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,aston_villa,
54,Neto,br BRA,GK,34-096,,9,810.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,bournemouth,9.0
55,Illia Zabarnyi,ua UKR,DF,21-052,,9,810.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.0,0.3,7.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches,bournemouth,9.0
56,Dominic Solanke,eng ENG,FW,26-039,,9,804.0,8.9,4.0,1.0,5.0,4.0,0.0,0.0,1.0,0.0,3.5,3.5,0.5,4.1,15.0,13.0,43.0,0.45,0.11,0.56,0.45,0.56,0.39,0.06,0.45,0.39,0.45,Matches,bournemouth,9.0
57,Philip Billing,dk DEN,MF,27-134,,9,780.0,8.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.4,1.4,0.9,2.3,11.0,27.0,19.0,0.0,0.12,0.12,0.0,0.12,0.16,0.11,0.27,0.16,0.27,Matches,bournemouth,9.0
58,Milos Kerkez,hu HUN,DF,19-350,,9,755.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.1,0.1,16.0,14.0,31.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches,bournemouth,9.0
59,Max Aarons,eng ENG,DF,23-292,,8,709.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.3,12.0,23.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches,bournemouth,9.0
60,Ryan Christie,sct SCO,MF,28-243,,8,603.0,6.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,1.1,1.5,14.0,23.0,29.0,0.0,0.15,0.15,0.0,0.15,0.06,0.16,0.22,0.06,0.22,Matches,bournemouth,9.0
61,Lewis Cook,eng ENG,MF,26-262,,6,523.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,0.2,0.3,3.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05,Matches,bournemouth,7.0
62,Marcos Senesi,ar ARG,DF,26-166,,5,443.0,4.9,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.2,9.0,23.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.04,0.04,0.0,0.04,Matches,bournemouth,8.0
63,Marcus Tavernier,eng ENG,FW,24-215,,5,376.0,4.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.2,1.3,15.0,8.0,15.0,0.0,0.24,0.24,0.0,0.24,0.03,0.28,0.31,0.03,0.31,Matches,bournemouth,6.0
64,Lloyd Kelly,eng ENG,DF,25-017,,4,367.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,6.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,bournemouth,5.0
65,Justin Kluivert,nl NED,FW,24-171,,4,337.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2,0.6,10.0,13.0,25.0,0.0,0.0,0.0,0.0,0.0,0.1,0.06,0.16,0.1,0.16,Matches,bournemouth,7.0
66,Joe Rothwell,eng ENG,MF,28-285,,3,305.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,5.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05,Matches,bournemouth,6.0
67,Antoine Semenyo,gh GHA,"FW,MF",23-289,,3,257.0,2.9,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.7,0.7,0.2,0.9,10.0,6.0,17.0,0.35,0.0,0.35,0.35,0.35,0.24,0.08,0.32,0.24,0.32,Matches,bournemouth,6.0
68,David Brooks,wls WAL,"FW,MF",26-107,,2,229.0,2.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.5,1.5,0.6,2.1,5.0,16.0,18.0,0.39,0.0,0.39,0.39,0.39,0.58,0.23,0.81,0.58,0.81,Matches,bournemouth,8.0
69,Dango Ouattara,bf BFA,FW,21-254,,2,194.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2,0.5,4.0,3.0,17.0,0.0,0.0,0.0,0.0,0.0,0.17,0.07,0.25,0.17,0.25,Matches,bournemouth,5.0
70,Jaidon Anthony,eng ENG,FW,23-326,,2,152.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,2.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,bournemouth,3.0
71,Adam Smith,eng ENG,DF,32-177,,1,93.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches,bournemouth,2.0
72,Alex Scott,eng ENG,MF,20-063,,1,56.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,bournemouth,1.0
73,Kieffer Moore,wls WAL,"FW,MF",31-076,,0,88.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.2,0.7,1.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.5,0.22,0.72,0.5,0.72,Matches,bournemouth,5.0
74,Luis Sinisterra,co COL,"FW,MF",24-128,,0,84.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,4.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.27,0.0,0.27,Matches,bournemouth,3.0
75,Hamed Junior Traorè,ci CIV,MF,23-249,,0,47.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.34,0.07,0.41,0.34,0.41,Matches,bournemouth,3.0
76,Chris Mepham,wls WAL,DF,25-352,,0,35.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05,Matches,bournemouth,2.0
77,James Hill,eng ENG,DF,21-286,,0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,bournemouth,1.0
78,Ben Greenwood,ie IRL,DF,20-245,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,bournemouth,0.0
79,Gavin Kilkenny,ie IRL,MF,23-264,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,bournemouth,0.0
80,Ionuț Radu,ro ROU,GK,26-148,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,bournemouth,0.0
81,Bryan Mbeumo,cm CMR,"FW,DF",24-077,9.0,9,810.0,9.0,5.0,1.0,6.0,3.0,2.0,2.0,1.0,0.0,5.1,3.5,2.1,5.7,28.0,39.0,82.0,0.56,0.11,0.67,0.33,0.44,0.57,0.24,0.81,0.39,0.63,Matches,brentford,
82,Ethan Pinnock,jm JAM,DF,30-147,9.0,9,810.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.9,1.7,4.0,28.0,6.0,0.0,0.0,0.0,0.0,0.0,0.09,0.1,0.19,0.09,0.19,Matches,brentford,
83,Christian Nørgaard,dk DEN,MF,29-227,9.0,9,760.0,8.4,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.6,1.6,0.8,2.4,2.0,54.0,16.0,0.12,0.12,0.24,0.12,0.24,0.18,0.1,0.28,0.18,0.28,Matches,brentford,
84,Yoane Wissa,cd COD,FW,27-050,9.0,9,758.0,8.4,3.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,4.4,4.4,0.9,5.3,17.0,11.0,41.0,0.36,0.12,0.47,0.36,0.47,0.52,0.11,0.63,0.52,0.63,Matches,brentford,
85,Vitaly Janelt,de GER,"MF,DF",25-166,9.0,9,718.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.7,1.0,2.0,32.0,25.0,0.0,0.13,0.13,0.0,0.13,0.04,0.09,0.13,0.04,0.13,Matches,brentford,
